name,serial,ipv4,2.4Ghz_chan,5Ghz_chan,config_ver,map_id,map_x,map_y
Rm101-a,o1-0006,10.128.3.100,1,40,0,0,50,50
Rm101-b,o1-0007,10.128.3.101,1,40,0,0,50,50
Rm101-c,o1-0008,10.128.3.102,1,40,0,0,50,50
Rm101-d,o1-0009,10.128.3.103,1,40,0,0,50,50
Rm101-e,o1-0010,10.128.3.104,1,40,0,0,50,50
Rm101-f,o1-0011,10.128.3.105,1,40,0,0,50,50
Rm101-g,o1-0012,10.128.3.106,1,40,0,0,50,50
Rm103-a,o1-0013,10.128.3.107,1,40,0,0,50,50
Rm103-b,o1-0014,10.128.3.108,1,40,0,0,50,50
Rm103-e,o1-0017,10.128.3.109,1,40,0,0,50,50
Rm104-a,o1-0018,10.128.3.110,1,40,0,0,50,50
Rm104-b,o1-0019,10.128.3.111,1,40,0,0,50,50
Rm104-c,o1-0020,10.128.3.112,1,40,0,0,50,50
Rm104-d,o1-0021,10.128.3.113,1,40,0,0,50,50
Rm104-e,o1-0022,10.128.3.114,1,40,0,0,50,50
Rm105-a,o1-0023,10.128.3.115,1,40,0,0,50,50
Rm105-b,o1-0024,10.128.3.116,1,40,0,0,50,50
Rm105-c,o1-0025,10.128.3.117,1,40,0,0,50,50
Rm105-d,o1-0026,10.128.3.118,1,40,0,0,50,50
Rm105-e,o1-0027,10.128.3.119,1,40,0,0,50,50
Rm106-a,o1-0028,10.128.3.120,1,40,0,0,50,50
Rm106-b,o1-0029,10.128.3.121,1,40,0,0,50,50
Rm106-c,o1-0030,10.128.3.122,1,40,0,0,50,50
Rm106-d,o1-0031,10.128.3.123,1,40,0,0,50,50
Rm106-e,o1-0032,10.128.3.124,1,40,0,0,50,50
Rm107-a,o1-0033,10.128.3.125,1,40,0,0,50,50
Rm107-b,o1-0034,10.128.3.126,1,40,0,0,50,50
Rm107-c,o1-0035,10.128.3.127,1,40,0,0,50,50
Rm107-d,o1-0036,10.128.3.128,1,40,0,0,50,50
Rm107-e,o1-0037,10.128.3.129,1,40,0,0,50,50
AV-1,o1-0003,10.128.3.130,1,40,0,0,50,50
AV-2,o1-0004,10.128.3.131,1,40,0,0,50,50
AV-3,o1-0005,10.128.3.132,1,40,0,0,50,50
Rm207-a,o1-0039,10.128.3.133,1,40,0,0,50,50
Rm208-a,o1-0040,10.128.3.134,1,40,0,0,50,50
Rm208-b,o1-0041,10.128.3.135,1,40,0,0,50,50
Rm208-c,o1-0042,10.128.3.136,1,40,0,0,50,50
Rm209-a,o1-0043,10.128.3.137,1,40,0,0,50,50
Rm209-b,o1-0044,10.128.3.138,1,40,0,0,50,50
Rm211-a,o1-0045,10.128.3.139,1,40,0,0,50,50
Rm211-b,o1-0046,10.128.3.140,1,40,0,0,50,50
Rm211-c,o1-0047,10.128.3.141,1,40,0,0,50,50
Rm211-d,o1-0048,10.128.3.142,1,40,0,0,50,50
Rm211-e,o1-0049,10.128.3.143,1,40,0,0,50,50
Rm211-f,o1-0050,10.128.3.144,1,40,0,0,50,50
Rm212-a,o1-0051,10.128.3.145,1,40,0,0,50,50
Rm212-b,o1-0052,10.128.3.146,1,40,0,0,50,50
Rm212-c,o1-0053,10.128.3.147,1,40,0,0,50,50
Rm212-d,o1-0054,10.128.3.148,1,40,0,0,50,50
Rm212-e,o1-0055,10.128.3.149,1,40,0,0,50,50
NOC-1,o1-0001,10.128.3.150,1,40,0,0,50,50
NOC-2,o1-0002,10.128.3.151,1,40,0,0,50,50
BallroomA-1,o1-0056,10.0.3.152,1,40,0,0,50,50
BallroomA-2,o1-0057,10.0.3.153,1,40,0,0,50,50
BallroomA-3,o1-0058,10.0.3.154,1,40,0,0,50,50
BallroomA-4,o1-0059,10.0.3.155,1,40,0,0,50,50
BallroomA-5,o1-0060,10.0.3.156,1,40,0,0,50,50
BallroomB-1,o1-0061,10.0.3.157,1,40,0,0,50,50
BallroomB-2,o1-0062,10.0.3.158,1,40,0,0,50,50
BallroomB-3,o1-0063,10.0.3.159,1,40,0,0,50,50
BallroomB-4,o1-0064,10.0.3.160,1,40,0,0,50,50
BallroomB-5,o1-0065,10.0.3.161,1,40,0,0,50,50
BallroomC-1,o1-0066,10.0.3.162,1,40,0,0,50,50
BallroomC-2,o1-0067,10.0.3.163,1,40,0,0,50,50
BallroomC-3,o1-0068,10.0.3.164,1,40,0,0,50,50
BallroomC-4,o1-0069,10.0.3.165,1,40,0,0,50,50
BallroomC-5,o1-0070,10.0.3.166,1,40,0,0,50,50
BallroomDE-1,o1-0071,10.0.3.167,1,40,0,0,50,50
BallroomDE-2,o1-0072,10.0.3.168,1,40,0,0,50,50
BallroomDE-3,o1-0073,10.0.3.169,1,40,0,0,50,50
BallroomDE-4,o1-0074,10.0.3.170,1,40,0,0,50,50
BallroomDE-5,o1-0075,10.0.3.171,1,40,0,0,50,50
BallroomDE-6,o1-0076,10.0.3.172,1,40,0,0,50,50
BallroomDE-7,o1-0077,10.0.3.173,1,40,0,0,50,50
BallroomDE-8,o1-0078,10.0.3.174,1,40,0,0,50,50
BallroomDE-9,o1-0079,10.0.3.175,1,40,0,0,50,50
BallroomDE-10,o1-0080,10.0.3.176,1,40,0,0,50,50
BallroomF-1,o1-0081,10.0.3.177,1,40,0,0,50,50
BallroomF-2,o1-0082,10.0.3.178,1,40,0,0,50,50
BallroomF-3,o1-0083,10.0.3.179,1,40,0,0,50,50
BallroomF-4,o1-0084,10.0.3.180,1,40,0,0,50,50
BallroomF-5,o1-0085,10.0.3.181,1,40,0,0,50,50
BallroomG-1,o1-0086,10.0.3.182,1,40,0,0,50,50
BallroomG-2,o1-0087,10.0.3.183,1,40,0,0,50,50
BallroomG-3,o1-0088,10.0.3.184,1,40,0,0,50,50
BallroomG-4,o1-0089,10.0.3.185,1,40,0,0,50,50
BallroomG-5,o1-0090,10.0.3.186,1,40,0,0,50,50
BallroomH-1,o1-0091,10.0.3.187,1,40,0,0,50,50
BallroomH-2,o1-0092,10.0.3.188,1,40,0,0,50,50
