name,map_id,ll_px_x,ll_px_y,ur_px_x,ur_px_y,x_ft,y_ft
101,0,50,75,200,250,150,100
103,0,50,75,200,250,150,100
104,0,50,75,200,250,150,100
105,0,50,75,200,250,150,100
106,0,50,75,200,250,150,100
107,0,50,75,200,250,150,100
204,1,50,75,200,250,150,100
205,1,50,75,200,250,150,100
207,1,50,75,200,250,150,100
208,1,50,75,200,250,150,100
209,1,50,75,200,250,150,100
211,1,50,75,200,250,150,100
212,1,50,75,200,250,150,100
215,1,50,75,200,250,150,100
balla,2,50,75,200,250,150,100
ballb,2,50,75,200,250,150,100
ballc,2,50,75,200,250,150,100
ballde,2,50,75,200,250,150,100
ballf,2,50,75,200,250,150,100
ballg,2,50,75,200,250,150,100
ballh,2,50,75,200,250,150,100
ballhall,2,50,75,200,250,150,100
balli,2,50,75,200,250,150,100
ballj,2,50,75,200,250,150,100
expo,2,50,75,200,250,150,100
expoa,2,50,75,200,250,150,100
expob,2,50,75,200,250,150,100
expoc,2,50,75,200,250,150,100
game,2,50,75,200,250,150,100
lowconf,0,50,75,200,250,150,100
new,3,50,75,200,250,150,100
reflash,3,50,75,200,250,150,100
reghall,2,50,75,200,250,150,100
spare,3,50,75,200,250,150,100
unknown,3,50,75,200,250,150,100
