name,ipv6,serial,mac
pi-ctf1,na,pi4-001,dc:a6:32:41:79:6a
pi-ctf2,na,pi4-002,dc:a6:32:41:88:a3
pi-ExpoIDF-543,na,pi4-003,dc:a6:32:41:43:5b
pi-ExpoIDF-544,na,pi4-004,dc:a6:32:41:88:e2
pi-NE-IDF-542,na,pi4-005,dc:a6:32:41:89:15
pi-noc,na,pi4-006,dc:a6:32:41:79:16
pi-NOC-18,na,pi4-007,dc:a6:32:41:89:1b
pi-NW-IDF-545,na,pi4-008,dc:a6:32:41:89:99
pi-NW-IDF-547,na,pi4-009,dc:a6:32:41:79:0f
pi-reg1,na,pi4-010,dc:a6:32:41:89:57
pi-reg2,na,pi4-011,dc:a6:32:41:89:60
pi-reg3,na,pi4-012,dc:a6:32:41:78:c2
pi-reg4,na,pi4-013,dc:a6:32:41:79:58
pi-reg5,na,pi4-014,dc:a6:32:41:89:5d
pi-Rm106-20,na,pi4-015,dc:a6:32:41:89:21
pi-Rm107-18,na,pi4-016,dc:a6:32:41:79:9d
pi-Rm211-18,na,pi4-017,dc:a6:32:41:78:a7
na,na,pi4-018,dc:a6:32:42:88:fa
na,na,pi4-019,dc:a6:32:42:3e:c9
na,na,pi4-020,dc:a6:32:42:89:52
