name,mac,eui64 suffix
pi4-001,dc:a6:32:41:79:6a,dea6:32ff:fe41:796a
pi4-002,dc:a6:32:41:88:a3,dea6:32ff:fe41:88a3
pi4-003,dc:a6:32:41:43:5b,dea6:32ff:fe41:435b
pi4-004,dc:a6:32:41:88:e2,dea6:32ff:fe41:88e2
pi4-005,dc:a6:32:41:89:15,dea6:32ff:fe41:8915
pi4-006,dc:a6:32:41:79:16,dea6:32ff:fe41:7916
pi4-007,dc:a6:32:41:89:1b,dea6:32ff:fe41:891b
pi4-008,dc:a6:32:41:89:99,dea6:32ff:fe41:8999
pi4-009,dc:a6:32:41:79:0f,dea6:32ff:fe41:790f
pi4-010,dc:a6:32:41:89:57,dea6:32ff:fe41:8957
pi4-011,dc:a6:32:41:89:60,dea6:32ff:fe41:8960
pi4-012,dc:a6:32:41:78:c2,dea6:32ff:fe41:78c2
pi4-013,dc:a6:32:41:79:58,dea6:32ff:fe41:7958
pi4-014,dc:a6:32:41:89:5d,dea6:32ff:fe41:895d
pi4-015,dc:a6:32:41:89:21,dea6:32ff:fe41:8921
pi4-016,dc:a6:32:41:79:9d,dea6:32ff:fe41:799d
pi4-017,dc:a6:32:41:78:a7,dea6:32ff:fe41:78a7
pi4-019,dc:a6:32:41:3e:c9,dea6:32ff:fe41:3ec9
pi4-020,dc:a6:32:41:89:52,dea6:32ff:fe41:8952
pi4-021,dc:a6:32:41:79:bb,dea6:32ff:fe41:79bb
pi4-022,dc:a6:32:41:88:f4,dea6:32ff:fe41:88f4
pi4-023,dc:a6:32:41:89:1e,dea6:32ff:fe41:891e
pi4-024,d8:3a:dd:c4:14:1a,da3a:ddff:fec4:141a
pi4-025,dc:a6:32:41:89:18,dea6:32ff:fe41:8918
